iter	Passed	Remaining
0	302	302587
1	456	227757
2	668	222226
3	843	210023
4	997	198428
5	1501	248712
6	2042	289804
7	2655	329285
8	3238	356644
9	3811	377301
10	4412	396725
11	5069	417386
12	5573	423165
13	5984	421482
14	6254	410738
15	6731	413989
16	7048	407583
17	7239	394970
18	7531	388855
19	7711	377860
20	7844	365719
21	8029	356953
22	8196	348181
23	8345	339366
24	8488	331059
25	8646	323922
26	8790	316794
27	8947	310599
28	9093	304463
29	9261	299447
30	9409	294136
31	9552	288974
32	9694	284072
33	9830	279289
34	10126	279211
35	10338	276840
36	10621	276440
37	11232	284350
38	11770	290041
39	12250	294008
40	12456	291349
41	12621	287881
42	12896	287025
43	13176	286292
44	13471	285893
45	13641	282916
46	13953	282936
47	14489	287382
48	14983	290794
49	15527	295017
50	15788	293787
51	15987	291467
52	16199	289459
53	16381	286971
54	16750	287797
55	17150	289112
56	17483	289246
57	17785	288853
58	18359	292823
59	18767	294030
60	19032	292975
61	19369	293044
62	19647	292211
63	19885	290830
64	20043	288312
65	20206	285956
66	20442	284674
67	20593	282246
68	20756	280062
69	20928	278047
70	21102	276111
71	21375	275501
72	21564	273834
73	21729	271913
74	21909	270218
75	22084	268495
76	22250	266723
77	22440	265254
78	22613	263638
79	22896	263311
80	23198	263198
81	23434	262354
82	23610	260852
83	23816	259717
84	23979	258130
85	24340	258690
86	24522	257341
87	24716	256147
88	24889	254772
89	25048	253272
90	25199	251718
91	25404	250734
92	25572	249397
93	25711	247811
94	26062	248276
95	26514	249681
96	27061	251924
97	27619	254213
98	27838	253356
99	28115	253041
100	28361	252441
101	28614	251916
102	28775	250596
103	29095	250667
104	29622	252495
105	30149	254278
106	30492	254481
107	30687	253454
108	30914	252706
109	31097	251604
110	31253	250307
111	31432	249214
112	31588	247956
113	31732	246625
114	31909	245560
115	32206	245435
116	32360	244225
117	32508	242986
118	32777	242662
119	32934	241520
120	33165	240929
121	33478	240933
122	33817	241123
123	34058	240607
124	34235	239651
125	34694	240659
126	35245	242281
127	35512	241926
128	35777	241567
129	36135	241831
130	36350	241135
131	36805	242026
132	37304	243182
133	37893	244895
134	38459	246424
135	39002	247778
136	39181	246813
137	39383	246001
138	39728	246086
139	39996	245693
140	40152	244618
141	40319	243620
142	40549	243014
143	40982	243616
144	41224	243085
145	41497	242729
146	41692	241929
147	41891	241158
148	42051	240174
149	42205	239162
150	42372	238242
151	42854	239081
152	43445	240510
153	44003	241734
154	44573	242997
155	45116	244091
156	45675	245249
157	46242	246428
158	46797	247525
159	47360	248642
160	47518	247628
161	47672	246600
162	47867	245798
163	48205	245727
164	48368	244772
165	48540	243874
166	48702	242928
167	48849	241920
168	49039	241133
169	49233	240377
170	49472	239841
171	50004	240717
172	50555	241673
173	51107	242614
174	51612	243317
175	52219	244481
176	52763	245333
177	53338	246317
178	53891	247177
179	54453	248067
180	55001	248874
181	55561	249722
182	56161	250729
183	56722	251550
184	57282	252350
185	57741	252696
186	57911	251775
187	58057	250759
188	58208	249774
189	58354	248774
190	58514	247846
191	58726	247138
192	58948	246485
193	59125	245643
194	59306	244829
195	59461	243912
196	59697	243334
197	59961	242874
198	60137	242060
199	60403	241615
200	60707	241321
201	60872	240477
202	61054	239708
203	61250	238998
204	61508	238534
205	61674	237717
206	61860	236981
207	62067	236333
208	62236	235544
209	62421	234823
210	62671	234351
211	62955	234006
212	63569	234879
213	64151	235623
214	64681	236161
215	65191	236619
216	65405	236003
217	65579	235242
218	65986	235320
219	66474	235683
220	67027	236263
221	67579	236831
222	68169	237522
223	68727	238090
224	69284	238648
225	69704	238721
226	70275	239308
227	70833	239838
228	71358	240249
229	71729	240138
230	71875	239274
231	72029	238443
232	72195	237657
233	72656	237839
234	73189	238256
235	73775	238833
236	74368	239423
237	74946	239956
238	75348	239918
239	75493	239063
240	75670	238313
241	75832	237523
242	75989	236723
243	76216	236147
244	76370	235345
245	76687	235051
246	77261	235537
247	77834	236013
248	78387	236422
249	78962	236888
250	79374	236858
251	79631	236367
252	80167	236700
253	80445	236269
254	80629	235565
255	80800	234825
256	81043	234301
257	81614	234719
258	82195	235161
259	82751	235523
260	83380	236084
261	83542	235321
262	83715	234594
263	83914	233944
264	84102	233265
265	84338	232723
266	84752	232672
267	85291	232960
268	85726	232960
269	85949	232382
270	86106	231630
271	86544	231634
272	86808	231171
273	87101	230788
274	87611	230976
275	87885	230539
276	88185	230173
277	88354	229468
278	88710	229248
279	89056	229001
280	89385	228712
281	89643	228241
282	89905	227781
283	90287	227625
284	90732	227626
285	90976	227123
286	91199	226568
287	92077	227636
288	92346	227190
289	92892	227425
290	93437	227653
291	93850	227554
292	94087	227031
293	94237	226297
294	94682	226275
295	95242	226522
296	95740	226618
297	95878	225861
298	96234	225620
299	96513	225197
300	96654	224456
301	96782	223690
302	96918	222943
303	97051	222196
304	97184	221453
305	97325	220732
306	97461	220003
307	97603	219290
308	97809	218725
309	98149	218460
310	98312	217805
311	98568	217355
312	98696	216628
313	98874	216013
314	99236	215800
315	99720	215849
316	100231	215955
317	100746	216065
318	101278	216208
319	101815	216357
320	102366	216532
321	102938	216746
322	103467	216864
323	103992	216972
324	104510	217059
325	105046	217181
326	105566	217266
327	105703	216563
328	105830	215843
329	105970	215152
330	106104	214452
331	106235	213751
332	106368	213056
333	106505	212372
334	106889	212184
335	107351	212146
336	107698	211882
337	108148	211817
338	108582	211719
339	108976	211543
340	109334	211294
341	109475	210629
342	109618	209969
343	109761	209311
344	110001	208844
345	110351	208583
346	110607	208145
347	110779	207553
348	110920	206903
